indice_tiempo,region_de_destino,categoria_del_hotel,facturacion_total_en_pesos,observaciones
2012-01-01,Buenos Aires,1 y 2 estrellas,44811124,""
2012-01-01,Buenos Aires,3 estrellas/boutiques/aparts,88000600,""
2012-01-01,Buenos Aires,4 y 5 estrellas,68474622,""
2012-01-01,Buenos Aires,Para Hoteles,81220502,""
2012-01-01,CABA,1 y 2 estrellas,11029073,""
2012-01-01,CABA,3 estrellas/boutiques/aparts,56296725,""
2012-01-01,CABA,4 y 5 estrellas,182695499,""
2012-01-01,CABA,Para Hoteles,11954191,""
2012-01-01,Cuyo,1 y 2 estrellas,7091725,""
2012-01-01,Cuyo,3 estrellas/boutiques/aparts,22746709,""
2012-01-01,Cuyo,4 y 5 estrellas,55556442,""
2012-01-01,Cuyo,Para Hoteles,9508795,""
2012-01-01,Córdoba,1 y 2 estrellas,39007840,""
2012-01-01,Córdoba,3 estrellas/boutiques/aparts,38231803,""
2012-01-01,Córdoba,4 y 5 estrellas,14957364,""
2012-01-01,Córdoba,Para Hoteles,56865595,""
2012-01-01,Litoral,1 y 2 estrellas,9503495,""
2012-01-01,Litoral,3 estrellas/boutiques/aparts,24394419,""
2012-01-01,Litoral,4 y 5 estrellas,52611701,""
2012-01-01,Litoral,Para Hoteles,23682298,""
2012-01-01,Norte,1 y 2 estrellas,6329905,""
2012-01-01,Norte,3 estrellas/boutiques/aparts,17523928,""
2012-01-01,Norte,4 y 5 estrellas,19052350,""
2012-01-01,Norte,Para Hoteles,10827665,""
2012-01-01,Patagonia,1 y 2 estrellas,15857372,""
2012-01-01,Patagonia,3 estrellas/boutiques/aparts,62188626,""
2012-01-01,Patagonia,4 y 5 estrellas,67686065,""
2012-01-01,Patagonia,Para Hoteles,39578720,""
2012-02-01,Buenos Aires,1 y 2 estrellas,31641246,""
2012-02-01,Buenos Aires,3 estrellas/boutiques/aparts,61189377,""
2012-02-01,Buenos Aires,4 y 5 estrellas,53199921,""
2012-02-01,Buenos Aires,Para Hoteles,67673609,""
2012-02-01,CABA,1 y 2 estrellas,9882807,""
2012-02-01,CABA,3 estrellas/boutiques/aparts,52295688,""
2012-02-01,CABA,4 y 5 estrellas,173035405,""
2012-02-01,CABA,Para Hoteles,11076575,""
2012-02-01,Cuyo,1 y 2 estrellas,6550397,""
